WKT;Tipo;Nombre de la avenida;País;Departamento;Provincia;Distrito;Ubigeo;Nombre del personaje
LINESTRING (-76.9312316 -12.1961136, -76.9308186 -12.195841, -76.9305825 -12.1956758, -76.9300676 -12.1954058, -76.9293916 -12.1949994, -76.9284046 -12.1943964, -76.9274175 -12.1938511, -76.9264198 -12.1932901, -76.9258243 -12.1929597, -76.9252154 -12.1925691, -76.9243598 -12.1920421, -76.9237241 -12.1916594, -76.922316 -12.1907758, -76.9217259 -12.190414, -76.920822 -12.189853, -76.9196981 -12.1891844, -76.9188881 -12.1886496, -76.9178716 -12.1880545, -76.9176704 -12.1879365);Avenida;Avenida La Mariscala;Perú;Lima;Lima;Villa María del Triunfo;150143;Francisca Zubiaga y Bernales
LINESTRING (-76.9374352 -12.2376994, -76.9389963 -12.2366247, -76.9401979 -12.2357492, -76.9411367 -12.2344123, -76.9417268 -12.2334215, -76.9429472 -12.2314188, -76.9438162 -12.2300007, -76.9448462 -12.2282732, -76.9467528 -12.2250496, -76.9473177 -12.224018, -76.9478743 -12.2231713, -76.9482887 -12.2224949, -76.9485341 -12.2219825, -76.9488037 -12.2215578, -76.949147 -12.2209352, -76.9495386 -12.2203362, -76.9499704 -12.2195904, -76.9505149 -12.2186913, -76.9510581 -12.2178236, -76.9513706 -12.2172783, -76.9519016 -12.2164132, -76.9522624 -12.2157906, -76.9526379 -12.2151628, -76.9531314 -12.2143737, -76.9538127 -12.2132438, -76.9553483 -12.2106878, -76.9569898 -12.2079038, -76.9581968 -12.205817, -76.958862 -12.2046321, -76.9596398 -12.2044538);Avenida;Avenida María Elena Moyano;Perú;Lima;Lima;Villa El Salvador;150142;María Elena Moyano Delgado
LINESTRING (-76.8294463 -12.2704481, -76.8293176 -12.2703039, -76.8286014 -12.2702672, -76.8255705 -12.270283, -76.8224377 -12.2702646, -76.8212254 -12.2701939, -76.8197247 -12.2702096);Avenida;Avenida María Tesoro;Perú;Lima;Lima;Lurín;150119;María Tesoro
LINESTRING (-77.0468028 -11.9380838, -77.0459767 -11.9382779, -77.0446195 -11.9386243, -77.0431335 -11.9390127, -77.0417924 -11.9393276, -77.0406498 -11.9396425, -77.0398787 -11.9398393, -77.0384051 -11.940242);Avenida;Avenida María Parado de Bellido;Perú;Lima;Lima;Comas;150110;María Andrea Parado Jayo
LINESTRING (-76.9170815 -12.2201092, -76.9167301 -12.2205155, -76.9162071 -12.221163, -76.9156063 -12.2219153, -76.914917 -12.2228879, -76.9141793 -12.2239102, -76.9132352 -12.2252471, -76.9126827 -12.2260571, -76.9125566 -12.2262301, -76.9125539 -12.2262799, -76.9125352 -12.2263586, -76.9123233 -12.2265028, -76.911988 -12.2269012, -76.911591 -12.2274333, -76.9112665 -12.2278999, -76.9111431 -12.2280441, -76.9110894 -12.2281516, -76.9110653 -12.2282407, -76.9110787 -12.2283561, -76.9111055 -12.2284976, -76.9111726 -12.2286785, -76.9112075 -12.2287702);Avenida;Avenida María Parado de Bellido;Perú;Lima;Lima;Chorrillos;150109;María Andrea Parado Jayo
LINESTRING (-77.0560606 -11.9941671, -77.0563449 -11.9936883, -77.0565582 -11.9933525, -77.0566561 -11.9931806, -77.0567714 -11.9929222, -77.0568425 -11.9927333, -77.0569162 -11.9924499, -77.0569632 -11.9919606, -77.0569417 -11.9916917, -77.0568626 -11.9909689, -77.0566547 -11.9894159, -77.0567083 -11.9888439);Avenida;Avenida María Parado de Bellido;Perú;Lima;Lima;Independencia;150112;María Andrea Parado Jayo
LINESTRING (-76.9351327 -12.2288057, -76.9356236 -12.2279669, -76.9359267 -12.2274557, -76.9361627 -12.2270389, -76.9363531 -12.2267322, -76.9368923 -12.2258554, -76.9371967 -12.2253547, -76.9380322 -12.2239293, -76.9383219 -12.2234509, -76.9387014 -12.222831, -76.9393828 -12.2217061);Avenida;Avenida María Parado de Bellido;Perú;Lima;Lima;Villa El Salvador;150142;María Andrea Parado Jayo
LINESTRING (-76.9425418 -12.216428, -76.9432285 -12.2152746, -76.9440278 -12.2139468, -76.944583 -12.2130293, -76.945342 -12.211771, -76.9457766 -12.2110147, -76.9461977 -12.2103435, -76.9469527 -12.2090721);Avenida;Avenida María Parado de Bellido;Perú;Lima;Lima;Villa El Salvador;150142;María Andrea Parado Jayo
LINESTRING (-76.9842531 -12.1901876, -76.9837945 -12.1906202, -76.9831722 -12.1912311, -76.982279 -12.1920779, -76.9812115 -12.193124, -76.9801494 -12.1941307, -76.9790818 -12.1951872);Avenida;Avenida María Parado de Bellido;Perú;Lima;Lima;Chorrillos;150109;María Andrea Parado Jayo
LINESTRING (-76.9330318 -12.2480195, -76.9325811 -12.2474848, -76.9321305 -12.2468871, -76.9319589 -12.2466827, -76.9318355 -12.2465988, -76.9316638 -12.2465831, -76.9313151 -12.2466355, -76.9304503 -12.246805, -76.9292755 -12.2469689, -76.9282022 -12.2471314, -76.9272473 -12.2471891, -76.9262335 -12.2471576, -76.9256487 -12.2470633, -76.9250533 -12.2469584, -76.9248199 -12.2469584, -76.9245651 -12.2468326, -76.9234601 -12.2462507, -76.9204882 -12.244505, -76.9183907 -12.2432992, -76.9170415 -12.242526, -76.9164997 -12.2421879, -76.9124979 -12.2399126);Avenida;Avenida María Reiche;Perú;Lima;Lima;Villa El Salvador;150142;María Reiche
