WKT;Tipo;Nombre de pasajes;País;Departamento;Provincia;Distrito;Ubigeo;Nombre del personaje
LINESTRING (-77.0774059 -11.9804436, -77.077202 -11.9804581, -77.0769619 -11.9804738, -77.0767353 -11.9804987, -77.0763504 -11.9805342, -77.0760419 -11.9805643, -77.0755431 -11.9806011, -77.0751447 -11.9806326, -77.0750187 -11.9806431, -77.0750147 -11.9805866, -77.074391 -11.9806575, -77.0740062 -11.9806942);Pasaje;Pasaje Esther Salgado;Perú;Lima;Lima;Los Olivos;150117;Esther Salgado
LINESTRING (-76.9802432 -12.1617067, -76.981241 -12.1620056);Pasaje;Pasaje Flora Tristán;Perú;Lima;Lima;San Juan de Miraflores;150133;Flora Celestina Teresa Enriqueta de Tristán y Moscoso
LINESTRING (-76.9440109 -12.0635877, -76.9435415 -12.0633018, -76.943351 -12.0632048, -76.9429809 -12.0630159, -76.9425652 -12.062793, -76.9418276 -12.0624179, -76.9415862 -12.0622894);Pasaje;Pasaje Juana Alarco de Dammert;Perú;Lima;Lima;La Molina;150114;Juana Alarco Espinoza de Dammert
LINESTRING (-77.0344357 -12.1112221, -77.0352175 -12.110931, -77.0351894 -12.1108287, -77.0354415 -12.1107487, -77.0359538 -12.1105678, -77.0359829 -12.1105661, -77.0360269 -12.1106484, -77.0365036 -12.1104963);Pasaje;Pasaje Juana Alarco de Dammert;Perú;Lima;Lima;Miraflores;150121;Juana Alarco Espinoza de Dammert
LINESTRING (-77.0161251 -12.1313002, -77.0161 -12.1312711, -77.0160933 -12.1312635, -77.0160212 -12.1312183, -77.0158166 -12.1310829, -77.0156383 -12.1309662, -77.0155058 -12.1308859, -77.0154723 -12.1308639);Pasaje;Pasaje Julia Codesido;Perú;Lima;Lima;Santiago de Surco;150140;Julia Manuela Codesido Estenós
LINESTRING (-77.002378 -12.1066272, -77.0022975 -12.1070547, -77.0022654 -12.1072724, -77.0022131 -12.1079438, -77.0022117 -12.1081195, -77.0021433 -12.1085732, -77.0021064 -12.1089043, -77.0020803 -12.1090465, -77.002032 -12.1094937, -77.002036 -12.1095199, -77.0020468 -12.1095396, -77.0020655 -12.1095605);Pasaje;Pasaje Julia Codesido;Perú;Lima;Lima;San Borja;150130;Julia Manuela Codesido Estenós
LINESTRING (-77.0722011 -11.9832782, -77.0712556 -11.9833622, -77.0712248 -11.9831903, -77.0708587 -11.9832271, -77.0708318 -11.9830591, -77.0694291 -11.9831956, -77.0688523 -11.9832487, -77.0686663 -11.9832845);Pasaje;Pasaje Lucy Antunez de Maggiolo;Perú;Lima;Lima;Los Olivos;150117;Lucy Antunez de Maggiolo
LINESTRING (-77.0829579 -12.0788947, -77.0829512 -12.0782994);Pasaje;Pasaje Luisa Dammert;Perú;Lima;Lima;San Miguel;150136;Luisa Dammert Alarco
LINESTRING (-77.0746798 -12.0686565, -77.073977 -12.0687469);Pasaje;Pasaje María E. Cabrejos;Perú;Lima;Lima;Pueblo Libre;150124;María E. Cabrejos
LINESTRING (-77.0882013 -12.0828513, -77.088031 -12.0825261, -77.087964 -12.082374, -77.0877494 -12.0819347);Pasaje;Pasaje María Egusquiza de Gálvez;Perú;Lima;Lima;San Miguel;150136;María Egusquiza de Gálvez
LINESTRING (-77.0670177 -12.0264423, -77.0667093 -12.0261301);Pasaje;Pasaje María Parado de Bellido;Perú;Lima;Lima;San Martín de Porres;150135;María Andrea Parado Jayo
LINESTRING (-76.9479054 -12.2101418, -76.9474709 -12.210881, -76.947023 -12.2116583);Pasaje;Pasaje María Parado de Bellido;Perú;Lima;Lima;Villa El Salvador;150142;María Andrea Parado Jayo
LINESTRING (-77.1319534 -11.9387121, -77.1315859 -11.9387344, -77.1315725 -11.9387016, -77.1313043 -11.93872);Pasaje;Pasaje María Parado de Bellido;Perú;Lima;Callao;Callao;70101;María Andrea Parado Jayo
LINESTRING (-77.0360057 -11.9293188, -77.0364617 -11.9288622);Pasaje;Pasaje María Parado de Bellido;Perú;Lima;Lima;Comas;150110;María Andrea Parado Jayo
LINESTRING (-76.9491388 -12.1408061, -76.949757 -12.1413961);Pasaje;Pasaje María Parado de Bellido;Perú;Lima;Lima;Villa María del Triunfo;150143;María Parado de Bellido Jayo
LINESTRING (-76.7123614 -11.9378151, -76.7121213 -11.9374103, -76.712006 -11.9372059, -76.711896 -11.9369976);Pasaje;Pasaje María Parado de Bellido;Perú;Lima;Lima;Lurigancho (Chosica);150118;María Andrea Parado Jayo
LINESTRING (-77.0871947 -12.0821611, -77.0870741 -12.0817703, -77.0870132 -12.0815742, -77.0869589 -12.0813768, -77.0870919 -12.0813321, -77.0869462 -12.0809161, -77.0869474 -12.0808532, -77.0869137 -12.0807353, -77.0868098 -12.0803907);Pasaje;Pasaje María Rosario Aráoz Pinto;Perú;Lima;Lima;San Miguel;150136;María Rosario Aráoz Pinto
LINESTRING (-77.075778 -12.0573741, -77.0756613 -12.05738, -77.0754601 -12.0574029, -77.0752643 -12.0574252);Pasaje;Pasaje Marisol Bedoya;Perú;Lima;Lima;La Molina;150114;Marisol Bedoya
LINESTRING (-77.0341696 -12.1008742, -77.0341615 -12.1010644, -77.0341655 -12.101206, -77.034183 -12.101404, -77.0342152 -12.1016295, -77.0342326 -12.1017594);Pasaje;Pasaje Matilde Acha de Brenner;Perú;Lima;Lima;San Isidro;150131;Matilde Acha de Brenner
LINESTRING (-77.0793279 -12.0589485, -77.0791455 -12.0589125, -77.079061 -12.0588921, -77.0790161 -12.0588725, -77.0789658 -12.0588135, -77.0789323 -12.0587544, -77.0789209 -12.0586305, -77.0789021 -12.0584233, -77.0788726 -12.0581525, -77.0788572 -12.0579131);Pasaje;Pasaje Melchora Balandra;Perú;Lima;Lima;Cercado de Lima;150101;Melchora Balandra
